essential,xorg,X server
essential,xorg-xinit,Display server boot
essential,python-dbus,Useful for certain things
essential,curl,Transfer a URL
essential,man,Manual
essential,man-pages,Manual pages
essential,tldr,Practical Manual
network,openssh,Remote login tool for SSH protocol
network,networkmanager,Network manager
network,mullvad-vpn-cli,Mullvad VPN CLI client (AUR)
tools,xsel,Manipulate the X selection
tools,fzf,Command line fuzzy finder
tools,scrot,Screenshot software
tools,udiskie,Automount devices
tools,xcape,Configure modifier keys to act as other keys
tools,btop,Interactive process viewer
tmux,tmux,Terminal multiplexer
tmux,tmuxp,Configure tmux session + windows + panes via config files
notifier,dunst,Notification system
notifier,libnotify,Notifier
git,git,Version control system
git,diff-so-fancy,Human readable git diff
i3,i3-wm,i3 window tile manager
i3,i3status,i3 status bar
i3,i3lock-color,i3 lock monitor (AUR)
i3,dmenu,Dynamic menu for X
i3,feh,X11 image viewer
i3,brightnessctl,To control screen brightness
zsh,zsh,Unix shell (Z-Shell)
zsh,zsh-completions,Additional completions for Zsh
zsh,zsh-syntax-highlighting,Syntax highlighting for ZSH
neovim,neovim,Editor Everything else really
neovim,python-neovim,Python for neovim
neovim,ruby-neovim,Ruby for neovim (AUR)
js,nodejs,Nodejs (for coc.vim)
js,yarn,Dependency manager (for coc.vim)
urxvt,rxvt-unicode,Terminal Urxvt
firefox,firefox,Browser Firefox
qutebrowser,qutebrowser,Qutebrowser
lynx,lyxn,Text-based browser
zathura,zathura,Minimalistic document viewer
zathura,zathura-pdf-mupdf,PDF Support for Zathura
signal,signal-desktop,Signal Desktop Client
games,luanti,Minecraft but better
audio,pulseaudio,Pulseaudio
audio,pulseaudio-alsa,Extra support
audio,pacucontrol,Control audio
audio,flac,Flac audio- u want this
video,mpv,To watch videos
video,freetube-bin,Watch youtube (AUR)
phone,android-file-transfer,Transfer files to and from your phone.
phone,scrcpy,Share your phone screen onto your system.
extra,bc,Terminal calculator
extra,cherrytree,Useful for note taking
extra,qbittorrent,Torrenting Client
